date,BTC,moving_average,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,predict
2026-07-27,63701.35,63308.40,63457.723713308900,72581.714908071,68704.60715909410,57663.606439470900,69174.84961348480,56781.93815655990,66884.1363114527,62911.00113206480,64678.0656213395
2026-07-28,63881.94,63433.67,62403.96217171510,71522.60013767530,67672.84729246090,57083.02264967760,68456.05061325840,56525.948211672200,66678.29706269180,61941.90361004770,63976.0479499106
2026-07-29,63916.60,63575.99,62920.72868245170,71493.04705527980,68718.40670031480,57708.00562014030,69821.11756326390,56811.871190341400,67243.83815037890,62970.742032397500,64638.7134027389
2026-07-30,64743.34,63701.23,63546.670263953600,71593.22663047890,70701.68960999970,58222.360842960200,72096.5124816908,58564.6484607678,68231.93818633890,64724.81770892610,65852.6115895212
2026-07-31,62820.09,63907.65,64040.80482654810,72154.74596722460,71810.04255959100,59232.3626039942,72341.52115944210,58584.254661833000,68595.11313965180,66283.80440868140,66565.365421799
2026-08-01,62772.58,64002.32,64905.07807760930,69132.70545564000,66397.10647777310,67709.76590117810,65257.059839119700,63959.54295914460,59837.133079352200,60963.50070961360,65798.1676691074
2026-08-02,63504.00,64100.00,65135.499946740200,69190.93803475070,66615.62279687360,68074.85242398320,65608.85848066130,63611.81427125290,59739.69283240500,60660.64720355840,65762.1496738405
2026-08-03,63472.83,64077.38,65515.082958161500,69597.02707571070,67649.03337813550,69377.63781868980,65782.27739557030,63722.787303638100,59532.31954906120,60887.65586129380,66132.76507004
2026-08-04,64039.41,64090.00,66365.7101205669,70002.14883223550,68801.39471955860,69661.77437760880,66524.82776062040,64116.29354094500,60687.70865094950,61059.83610782510,66735.9248321718
2026-08-05,64574.31,64106.43,66951.12534825790,70888.5733483844,71412.71968656020,71175.84744660350,67203.28146485310,65424.199217297500,61487.9448770067,61912.86901379780,67775.5127215552
2026-08-06,64289.46,64123.17,67340.5189576926,71418.02127487500,71646.53532394450,71952.07524148320,67518.95265560030,65402.76280377330,61692.99338756720,61835.373808175900,67860.4878706158
2026-08-07,64879.76,64154.44,67432.611620714,71630.81199993730,72230.79283007780,72295.3687283281,67723.62987811240,65259.592370539600,61784.44212509690,61779.4228499044,67869.8329155244
2026-08-08,64917.24,64242.13,67757.98042144910,72096.46715766340,72445.94556448270,72629.86755470980,68603.42988529870,66243.82416004960,62354.74578270770,61908.326690706900,68206.6877507164
2026-08-09,64856.10,64298.68,67603.82842236860,72688.99706390120,71984.7817611762,73023.20249301640,69302.72832369750,65957.41554844050,63200.52276118000,62409.73963899660,68282.2226441102
2026-08-10,63915.71,64324.49,67141.63828935030,73100.16632743360,71994.00627371760,73502.67700157050,69431.93409514580,65638.87738211120,61454.528734490600,62421.851049571100,68153.9522968525
2026-08-11,63537.56,64325.25,66824.95479830560,74427.66374644070,72260.96452901020,73466.15139070520,70374.21263624210,65169.14207025170,61328.13423566540,63060.104236070800,68508.7949431536
2026-08-12,63408.63,64318.29,66412.36533053580,74950.98871927150,72783.5525355391,74062.66899308540,70400.13076311740,65882.48501635600,62228.38098527470,64152.32824032150,68919.223650869
2026-08-13,63429.18,64357.17,65959.60121851180,74747.45630248190,72338.29966863270,73975.44906052950,70290.93843554640,65177.06521706790,61453.99943629880,63884.32585289320,68571.2339325218
2026-08-14,62984.29,64305.56,66095.64114454230,75188.61076029900,72504.12503884840,74476.52102447360,72302.97257562000,65215.13953184700,61872.94230985750,64016.98114102500,68999.18792861840
2026-08-15,63031.05,64247.63,67086.92880451250,76187.12780596850,74199.48878729090,76344.86057484430,74636.32116809620,66480.50058692810,63520.98243961100,64757.528063310400,70199.8445919238
2026-08-16,62843.70,64222.37,68522.61625744320,76878.26572488410,75687.1779251443,77766.87777923280,75290.33057020570,66873.67297604410,64975.881885762400,64941.20533227510,71174.3308503222
2026-08-17,64491.35,64186.31,69608.56814089000,78596.11765665350,76496.11158413030,78414.40033391400,75396.13918259270,67714.68673946750,65651.49490382630,65094.3752227342,71869.2982370926
2026-08-18,64686.26,64176.25,71197.3154361801,79198.02488704030,77739.55920145820,79593.11412698080,75870.68820255850,67670.44868944260,67101.1990494859,65643.91106357670,72680.6528476772
2026-08-19,69291.01,64176.46,71469.41125238920,80026.43029131260,77854.1113323429,80378.49432915000,76905.57332960060,67796.06009208480,67043.95269418920,65749.23433418370,73063.4711092746
2026-08-20,73020.95,64312.85,71223.38851909630,79791.56067478640,75552.17667234220,80199.94001382700,76194.8535582653,66437.15972273210,67429.60465344650,65137.171199375500,72422.3625245133
2026-08-21,78317.78,64529.98,71098.57692981730,79091.9704389181,73751.53185754900,78143.75653982740,74955.49138195110,65315.37228398030,67078.75675307890,64991.13879790760,71566.8601914067
2026-08-22,77081.02,64937.80,70605.47423410010,78344.71132553180,72592.92812797840,76916.26790375000,74547.44143481890,65291.959964487500,66129.10211565460,64839.022860477400,70883.0957348862
2026-08-23,77712.32,65338.75,70672.57407799140,78193.52362400020,72253.86066089230,76972.991119416,74853.87874127980,64446.72355243370,66206.81782838010,63417.09174866700,70579.4807845868
2026-08-24,78973.89,65792.74,71906.43493142870,78410.63950856610,73151.05480020610,77666.83499486260,75647.9211391995,64848.367114774300,66928.9311463356,63452.91475667750,71295.8325727355
2026-08-25,78511.23,66281.26,73200.418676706,78410.55456050440,74058.96082927850,78676.71320197290,76319.07481735900,65721.29396239840,67643.15233469250,63597.36369127600,71985.6622821696
2026-08-26,79018.03,66720.16,73839.25462180420,78386.91166996170,73857.14160635220,79735.17910610320,76518.61354403900,65547.41596088420,68150.42320537750,63507.13826840780,72235.5024157601
2026-08-27,80268.37,67230.72,74076.94059114720,78388.33749077660,72853.69911211720,79472.7114911243,75960.4026405991,64552.9917920265,68603.22415805380,63159.178544475100,71963.0818131765
2026-08-28,77820.76,67776.94,75002.46248511010,78434.89442645690,73049.91032430310,80684.92696405250,76753.23415850060,64304.29003616510,69920.21726049340,63559.88948210530,72570.69354795130
2026-08-29,78225.14,68240.41,75682.7047597043,78614.53284982800,73319.29044241860,81443.59708486940,77426.52680417050,64944.905300687600,70975.07988184700,63680.15316722850,73122.4631213627
2026-08-30,77658.23,68689.80,75788.39138676300,78951.32761419660,72935.40068840250,81403.52386100800,77020.2320220969,64921.19037453340,70738.24433371640,64039.33275290400,73076.1995555882
2026-08-31,78552.78,69184.40,76120.60603933280,79406.38881120780,73218.01603855470,80980.04646561550,76594.49292935600,64660.35106792350,71102.17717271080,64010.713629289500,73167.5261320952
2026-09-01,77416.44,69710.41,74279.39799603350,80445.67191511570,77397.475149061,71226.33212187460,75020.4401877187,73961.80132723920,69772.52080549440,77166.26912183120,74908.738578046
2026-09-02,77297.13,70174.16,74482.5760928721,80637.20513459540,77564.5934103214,71100.9018612641,75603.26729900570,74003.0241865211,69932.48486026240,77039.48672516750,75045.4424462512
2026-09-03,,,74829.22993672970,80703.61664475580,77630.05475054810,71183.79938160320,76001.26402408480,74079.9484089266,70074.1560786475,77066.61312243300,75196.0852934661
2026-09-04,,,74781.79951680530,80694.57134106840,77915.06217410760,71570.87387566810,76566.60667755860,74047.647858798,70333.59994070490,77352.31885311820,75407.8100297286
2026-09-05,,,74567.86166303630,80745.10091911,78136.09726025150,71734.5313649675,77548.50745574890,73866.00837133760,70530.99392834700,77371.13987706230,75562.5301049826
2026-09-06,,,75118.25993908030,80063.96337450760,78150.85560088300,71911.11247782220,77430.50333161010,73556.36424678850,70771.99926652890,77548.1541072561,75568.9015430596
2026-09-07,,,74846.34956599690,79437.95654151870,77078.45902918250,71594.54017187480,76952.32683302120,73649.04844619090,70855.03040747530,77498.50958117710,75239.02757205470
2026-09-08,,,75283.43839322530,78246.12184529630,77822.7108949239,72994.76814600860,76149.12289552370,73729.30946682670,71700.76829721340,77574.44614925490,75437.5857610341
2026-09-09,,,75960.54353009000,78350.05298880590,77331.34945101870,73082.76334622610,76612.61030403110,73511.26126168490,72106.02649599090,77854.56229229,75601.1462087672
2026-09-10,,,76091.24696747420,78316.9836765301,76358.24762385580,73495.04995447490,75878.07104408480,73216.109195091,72406.90452091750,77969.39038020600,75466.5004203293
2026-09-11,,,75408.31887510800,77929.17671943420,75774.11651997400,73556.57769385530,75379.34713251960,72471.22161384190,72321.53446145920,77923.64561746850,75095.49232920760
2026-09-12,,,75676.29002133030,78246.92344532710,75886.19705680650,73774.01185673470,73353.13274706030,72709.32866321860,73023.14220724660,77533.82289005220,75025.35611097200
2026-09-13,,,75800.6819012337,78599.76889172960,75379.8487618655,74539.25388312020,72349.76171032730,72882.75693472880,72905.05657943870,77556.29944175650,75001.678513025
